x,y
 0.00, 0.20
 0.50, 0.28
 1.00, 0.33
 1.50, 0.39
 2.00, 0.48
 2.50, 0.57
 3.00, 0.69
 3.50, 0.83
 4.00, 1.00
 4.50, 1.19
 5.00, 1.25
 5.50, 0.94
 6.00, 0.61
 6.50, 0.59
 7.00, 0.91
 7.50, 0.99
 8.00, 1.17
 8.50, 1.19
 9.00, 0.95
 9.50, 0.65
10.00, 0.62
10.50, 0.94
11.00, 1.03
11.50, 1.20
12.00, 1.12
12.50, 0.84
13.00, 0.60
13.50, 0.78
14.00, 1.01
14.50, 1.12
15.00, 1.19
15.50, 0.98
16.00, 0.67
16.50, 0.63
17.00, 0.95
17.50, 1.05
18.00, 1.21
18.50, 1.09
19.00, 0.80
19.50, 0.59
20.00, 0.83
20.50, 1.02
21.00, 1.15
21.50, 1.17
22.00, 0.94
22.50, 0.65
23.00, 0.66
23.50, 0.97
24.00, 1.07
24.50, 1.21
25.00, 1.07
25.50, 0.76
26.00, 0.59
26.50, 0.87
27.00, 1.03
27.50, 1.17
28.00, 1.15
28.50, 0.90
29.00, 0.63
29.50, 0.71
30.00, 0.99
30.50, 1.09
31.00, 1.20
31.50, 1.04
32.00, 0.73
32.50, 0.59
33.00, 0.90
33.50, 1.04
34.00, 1.19
34.50, 1.13
35.00, 0.86
35.50, 0.61
36.00, 0.75
36.50, 1.00
37.00, 1.11
37.50, 1.19
38.00, 1.00
38.50, 0.69
39.00, 0.61
39.50, 0.93
40.00, 1.05
40.50, 1.20
41.00, 1.11
41.50, 0.82
42.00, 0.59
42.50, 0.80
43.00, 1.01
43.50, 1.13
44.00, 1.18
44.50, 0.97
45.00, 0.66
45.50, 0.64
46.00, 0.96
46.50, 1.06
47.00, 1.21
47.50, 1.08
48.00, 0.78
48.50, 0.59
49.00, 0.84
49.50, 1.02
50.00, 1.15
50.50, 1.16
51.00, 0.93
51.50, 0.64
52.00, 0.68
52.50, 0.98
53.00, 1.07
53.50, 1.21
54.00, 1.06
54.50, 0.75
55.00, 0.59
55.50, 0.88
56.00, 1.03
56.50, 1.18
57.00, 1.14
57.50, 0.89
58.00, 0.62
58.50, 0.72
59.00, 0.99
59.50, 1.09
60.00, 1.20
60.50, 1.02
61.00, 0.71
61.50, 0.60
62.00, 0.91
62.50, 1.04
63.00, 1.19
63.50, 1.12
64.00, 0.85
64.50, 0.60
65.00, 0.77
65.50, 1.01
66.00, 1.11
66.50, 1.19
67.00, 0.99
67.50, 0.68
68.00, 0.62
68.50, 0.94
69.00, 1.05
69.50, 1.20
70.00, 1.10
70.50, 0.81
71.00, 0.59
71.50, 0.81
72.00, 1.02
72.50, 1.14
73.00, 1.17
73.50, 0.95
74.00, 0.66
74.50, 0.65
75.00, 0.96
75.50, 1.06
76.00, 1.21
76.50, 1.07
77.00, 0.77
77.50, 0.59
78.00, 0.86
78.50, 1.03
79.00, 1.16
79.50, 1.16
80.00, 0.91
80.50, 0.63
81.00, 0.69
81.50, 0.98
82.00, 1.08
82.50, 1.21
83.00, 1.04
83.50, 0.74
84.00, 0.59
84.50, 0.89
85.00, 1.04
85.50, 1.18
86.00, 1.14
86.50, 0.87
87.00, 0.61
87.50, 0.74
88.00, 1.00
88.50, 1.10
89.00, 1.20
89.50, 1.01
90.00, 0.70
90.50, 0.60
91.00, 0.92
91.50, 1.04
92.00, 1.20
92.50, 1.11
93.00, 0.83
93.50, 0.60
94.00, 0.79
94.50, 1.01
95.00, 1.12
95.50, 1.18
96.00, 0.98
96.50, 0.67
97.00, 0.63
97.50, 0.95
98.00, 1.06
98.50, 1.21
99.00, 1.09
99.50, 0.79
100.00, 0.59
